filename,start,end,category,gender,is_valid,From
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_1.wav,00.00',00.10',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_2.wav,00.10',00.20',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_3.wav,00.20',00.30',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_4.wav,00.30',00.40',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_5.wav,00.40',00.50',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_6.wav,00.50',01.00',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_7.wav,01.00',01.10',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_8.wav,01.10',01.20',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_9.wav,01.20',01.30',sad,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_10.wav,01.30',01.40',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_11.wav,01.40',01.50',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_12.wav,01.50',02.00',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_13.wav,02.00',02.10',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_14.wav,02.10',02.20',sobbing,Female,FALSE,Boom
q-6-7a7ab30f1437cebc0acadcfb0cbc6847-20200403-092507-1585880707.535676_15.wav,02.20',02.30',sobbing,Female,FALSE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_1.wav,00.00',00.10',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_2.wav,00.10',00.20',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_3.wav,00.20',00.30',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_4.wav,00.30',00.40',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_5.wav,00.40',00.50',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_6.wav,00.50',01.00',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_7.wav,01.00',01.10',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_8.wav,01.10',01.20',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_9.wav,01.20',01.30',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_10.wav,01.30',01.40',normal,Male,TRUE,Boom
q-6-7ae89448494a52e8bf60f419be850de9-20200927-091622-1601172982.1133185_11.wav,01.40',01.50',normal,Male,TRUE,Boom
